Rank,Name,Title,Country,Rating,Games,Year,Age,Date
32,"Polgar, Judit (GM)",g,HUN,2656,39,2000,24,2000-07-01
30,"Polgar, Judit (GM)",wg,HUN,2656,0,2000,24,2000-10-01
23,"Polgar, Judit (GM)",wg,HUN,2676,34,2001,25,2001-01-01
19,"Polgar, Judit (GM)",wg,HUN,2679,10,2001,25,2001-04-01
20,"Polgar, Judit (GM)",wg,HUN,2686,13,2001,25,2001-07-01
19,"Polgar, Judit (GM)",wg,HUN,2686,0,2001,25,2001-10-01
22,"Polgar, Judit (GM)",wg,HUN,2677,19,2002,26,2002-01-01
20,"Polgar, Judit (GM)",wg,HUN,2677,0,2002,26,2002-04-01
19,"Polgar, Judit (GM)",wg,HUN,2681,1,2002,26,2002-07-01
18,"Polgar, Judit (GM)",wg,HUN,2685,2,2002,26,2002-10-01
13,"Polgar, Judit (GM)",wg,HUN,2700,25,2003,27,2003-01-01
10,"Polgar, Judit (GM)",wg,HUN,2715,13,2003,27,2003-04-01
11,"Polgar, Judit (GM)",wg,HUN,2718,9,2003,27,2003-07-01
11,"Polgar, Judit (GM)",wg,HUN,2722,9,2003,27,2003-10-01
8,"Polgar, Judit (GM)",wg,HUN,2728,6,2004,28,2004-01-01
9,"Polgar, Judit",g,HUN,2728,0,2004,28,2004-04-01
8,"Polgar, Judit",g,HUN,2728,0,2004,28,2004-07-01
9,"Polgar, Judit",g,HUN,2728,0,2004,28,2004-10-01
8,"Polgar, Judit",g,HUN,2732,13,2005,29,2005-04-01
8,"Polgar, Judit",g,HUN,2735,10,2005,29,2005-07-01
8,"Polgar, Judit",g,HUN,2735,0,2005,29,2005-10-01
14,"Polgar, Judit",g,HUN,2711,14,2006,30,2006-01-01
14,"Polgar, Judit",g,HUN,2711,0,2006,30,2006-04-01
17,"Polgar, Judit",g,HUN,2710,1,2006,30,2006-07-01
16,"Polgar, Judit",g,HUN,2710,0,2006,30,2006-10-01
13,"Polgar, Judit",g,HUN,2727,6,2007,31,2007-01-01
13,"Polgar, Judit",g,HUN,2727,0,2007,31,2007-04-01
19,"Polgar, Judit",g,HUN,2707,10,2007,31,2007-07-01
20,"Polgar, Judit",g,HUN,2708,9,2007,31,2007-10-01
22,"Polgar, Judit",g,HUN,2707,10,2008,32,2008-01-01
21,"Polgar, Judit",g,HUN,2709,13,2008,32,2008-04-01
22,"Polgar, Judit",g,HUN,2711,3,2008,32,2008-07-01
27,"Polgar, Judit",g,HUN,2711,0,2008,32,2008-10-01
36,"Polgar, Judit",g,HUN,2693,8,2009,33,2009-01-01
37,"Polgar, Judit",g,HUN,2693,0,2009,33,2009-04-01
43,"Polgar, Judit",g,HUN,2687,1,2009,33,2009-07-01
46,"Polgar, Judit",g,HUN,2687,0,2009,33,2009-09-01
48,"Polgar, Judit",g,HUN,2680,6,2009,33,2009-11-01
46,"Polgar, Judit",g,HUN,2682,4,2010,34,2010-01-01
51,"Polgar, Judit",g,HUN,2682,0,2010,34,2010-03-01
50,"Polgar, Judit",g,HUN,2682,0,2010,34,2010-05-01
54,"Polgar, Judit",g,HUN,2682,0,2010,34,2010-07-01
56,"Polgar, Judit",g,HUN,2682,0,2010,34,2010-09-01
49,"Polgar, Judit",g,HUN,2686,10,2010,34,2010-11-01
53,"Polgar, Judit",g,HUN,2686,0,2011,35,2011-01-01
51,"Polgar, Judit",g,HUN,2686,0,2011,35,2011-03-01
41,"Polgar, Judit",g,HUN,2699,11,2011,35,2011-05-01
43,"Polgar, Judit",g,HUN,2699,0,2011,35,2011-07-01
48,"Polgar, Judit",g,HUN,2701,13,2011,35,2011-09-01
35,"Polgar, Judit",g,HUN,2710,16,2011,35,2011-11-01
32,"Polgar, Judit",g,HUN,2710,0,2012,36,2012-01-01
29,"Polgar, Judit",g,HUN,2709,10,2012,36,2012-03-01
36,"Polgar, Judit",g,HUN,2709,0,2012,36,2012-05-01
36,"Polgar, Judit",g,HUN,2709,0,2012,36,2012-07-01
44,"Polgar, Judit",g,HUN,2698,12,2012,36,2012-08-01
48,"Polgar, Judit",g,HUN,2698,0,2012,36,2012-09-01
40,"Polgar, Judit",g,HUN,2705,10,2012,36,2012-10-01
43,"Polgar, Judit",g,HUN,2705,0,2012,36,2012-11-01
41,"Polgar, Judit",g,HUN,2705,0,2012,36,2012-12-01
51,"Polgar, Judit",g,HUN,2696,8,2013,37,2013-01-01
53,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-02-01
58,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-03-01
55,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-04-01
52,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-05-01
51,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-06-01
52,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-07-01
54,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-08-01
54,"Polgar, Judit",g,HUN,2696,0,2013,37,2013-09-01
56,"Polgar, Judit",g,HUN,2689,2,2013,37,2013-10-01
58,"Polgar, Judit",g,HUN,2689,0,2013,37,2013-11-01
54,"Polgar, Judit",g,HUN,2693,8,2013,37,2013-12-01
55,"Polgar, Judit",g,HUN,2693,0,2014,38,2014-01-01
55,"Polgar, Judit",g,HUN,2693,0,2014,38,2014-02-01
56,"Polgar, Judit",g,HUN,2693,0,2014,38,2014-03-01
60,"Polgar, Judit",g,HUN,2685,11,2014,38,2014-04-01
61,"Polgar, Judit",g,HUN,2685,0,2014,38,2014-05-01
60,"Polgar, Judit",g,HUN,2685,0,2014,38,2014-06-01
66,"Polgar, Judit",g,HUN,2676,6,2014,38,2014-07-01
65,"Polgar, Judit",g,HUN,2676,0,2014,38,2014-08-01
69,"Polgar, Judit",g,HUN,2675,6,2014,38,2014-09-01
69,"Polgar, Judit",g,HUN,2675,0,2014,38,2014-10-01
69,"Polgar, Judit",g,HUN,2675,0,2014,38,2014-11-01
69,"Polgar, Judit",g,HUN,2675,0,2014,38,2014-12-01
67,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-01-01
66,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-02-01
67,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-03-01
66,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-04-01
63,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-05-01
64,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-06-01
65,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-07-01
62,"Polgar, Judit",g,HUN,2675,0,2015,39,2015-08-01
