Rank,Name,Title,Country,Rating,Games,Year,Age,Date
63,"Korchnoi, Viktor",g,SUI,2620,51,2000,69,2000-07-01
50,"Korchnoi, Viktor",g,SUI,2632,10,2000,69,2000-10-01
46,"Korchnoi, Viktor",g,SUI,2639,24,2001,70,2001-01-01
41,"Korchnoi, Viktor",g,SUI,2643,8,2001,70,2001-04-01
64,"Korchnoi, Viktor",g,SUI,2617,22,2001,70,2001-07-01
45,"Korchnoi, Viktor",g,SUI,2639,10,2001,70,2001-10-01
54,"Korchnoi, Viktor",g,SUI,2633,33,2002,71,2002-01-01
99,"Portisch, Lajos",g,HUN,2596,16,2002,65,2002-01-01
51,"Korchnoi, Viktor",g,SUI,2635,2,2002,71,2002-04-01
59,"Korchnoi, Viktor",g,SUI,2626,23,2002,71,2002-07-01
52,"Korchnoi, Viktor",g,SUI,2634,19,2002,71,2002-10-01
43,"Korchnoi, Viktor",g,SUI,2642,25,2003,72,2003-01-01
60,"Korchnoi, Viktor",g,SUI,2632,26,2003,72,2003-04-01
66,"Korchnoi, Viktor",g,SUI,2628,25,2003,72,2003-07-01
90,"Korchnoi, Viktor",g,SUI,2617,29,2005,74,2005-01-01
96,"Korchnoi, Viktor",g,SUI,2619,14,2005,74,2005-04-01
100,"Korchnoi, Viktor",g,SUI,2615,5,2005,74,2005-07-01
92,"Korchnoi, Viktor",g,SUI,2620,28,2005,74,2005-10-01
85,"Korchnoi, Viktor",g,SUI,2629,24,2007,76,2007-01-01
98,"Beliavsky, Alexander G",g,SLO,2651,11,2013,60,2013-06-01
101,"Beliavsky, Alexander G",g,SLO,2651,0,2013,60,2013-12-01
