Rank,Name,Title,Country,Rating,Games,Year,Age,Date
3,"Anand, Viswanathan",g,IND,2762,23,2000,31,2000-07-01
2,"Anand, Viswanathan",g,IND,2774,19,2000,31,2000-10-01
2,"Anand, Viswanathan",g,IND,2790,16,2001,32,2001-01-01
3,"Anand, Viswanathan",g,IND,2794,13,2001,32,2001-04-01
3,"Anand, Viswanathan",g,IND,2797,6,2001,32,2001-07-01
3,"Anand, Viswanathan",g,IND,2770,10,2001,32,2001-10-01
3,"Anand, Viswanathan",g,IND,2757,14,2002,33,2002-01-01
3,"Anand, Viswanathan",g,IND,2752,12,2002,33,2002-04-01
3,"Anand, Viswanathan",g,IND,2755,2,2002,33,2002-07-01
3,"Anand, Viswanathan",g,IND,2755,0,2002,33,2002-10-01
3,"Anand, Viswanathan",g,IND,2753,11,2003,34,2003-01-01
3,"Anand, Viswanathan",g,IND,2764,25,2003,34,2003-04-01
3,"Anand, Viswanathan",g,IND,2774,7,2003,34,2003-07-01
3,"Anand, Viswanathan",g,IND,2766,10,2003,34,2003-10-01
3,"Anand, Viswanathan",g,IND,2766,0,2004,35,2004-01-01
2,"Anand, Viswanathan",g,IND,2774,13,2004,35,2004-04-01
2,"Anand, Viswanathan",g,IND,2782,9,2004,35,2004-07-01
2,"Anand, Viswanathan",g,IND,2781,16,2004,35,2004-10-01
2,"Anand, Viswanathan",g,IND,2786,11,2005,36,2005-01-01
2,"Anand, Viswanathan",g,IND,2785,25,2005,36,2005-04-01
2,"Anand, Viswanathan",g,IND,2788,18,2005,36,2005-07-01
2,"Anand, Viswanathan",g,IND,2788,0,2005,36,2005-10-01
3,"Anand, Viswanathan",g,IND,2792,14,2006,37,2006-01-01
2,"Anand, Viswanathan",g,IND,2803,13,2006,37,2006-04-01
2,"Anand, Viswanathan",g,IND,2779,26,2006,37,2006-07-01
2,"Anand, Viswanathan",g,IND,2779,0,2006,37,2006-10-01
2,"Anand, Viswanathan",g,IND,2779,0,2007,38,2007-01-01
1,"Anand, Viswanathan",g,IND,2786,27,2007,38,2007-04-01
1,"Anand, Viswanathan",g,IND,2792,4,2007,38,2007-07-01
1,"Anand, Viswanathan",g,IND,2801,21,2007,38,2007-10-01
2,"Anand, Viswanathan",g,IND,2799,3,2008,39,2008-01-01
1,"Anand, Viswanathan",g,IND,2803,27,2008,39,2008-04-01
1,"Anand, Viswanathan",g,IND,2798,2,2008,39,2008-07-01
5,"Anand, Viswanathan",g,IND,2783,10,2008,39,2008-10-01
2,"Anand, Viswanathan",g,IND,2791,11,2009,40,2009-01-01
2,"Anand, Viswanathan",g,IND,2783,14,2009,40,2009-04-01
2,"Anand, Viswanathan",g,IND,2788,2,2009,40,2009-07-01
2,"Anand, Viswanathan",g,IND,2788,0,2009,40,2009-09-01
3,"Anand, Viswanathan",g,IND,2788,0,2009,40,2009-11-01
3,"Anand, Viswanathan",g,IND,2790,9,2010,41,2010-01-01
4,"Anand, Viswanathan",g,IND,2787,13,2010,41,2010-03-01
4,"Anand, Viswanathan",g,IND,2789,2,2010,41,2010-05-01
3,"Anand, Viswanathan",g,IND,2800,13,2010,41,2010-07-01
3,"Anand, Viswanathan",g,IND,2800,0,2010,41,2010-09-01
1,"Anand, Viswanathan",g,IND,2804,6,2010,41,2010-11-01
2,"Anand, Viswanathan",g,IND,2810,17,2011,42,2011-01-01
1,"Anand, Viswanathan",g,IND,2817,13,2011,42,2011-03-01
1,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-05-01
2,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-07-01
2,"Anand, Viswanathan",g,IND,2817,0,2011,42,2011-09-01
2,"Anand, Viswanathan",g,IND,2811,10,2011,42,2011-11-01
4,"Anand, Viswanathan",g,IND,2799,17,2012,43,2012-01-01
4,"Anand, Viswanathan",g,IND,2799,0,2012,43,2012-03-01
4,"Anand, Viswanathan",g,IND,2791,4,2012,43,2012-05-01
5,"Anand, Viswanathan",g,IND,2780,12,2012,43,2012-07-01
6,"Anand, Viswanathan",g,IND,2780,0,2012,43,2012-08-01
6,"Anand, Viswanathan",g,IND,2780,0,2012,43,2012-09-01
7,"Anand, Viswanathan",g,IND,2780,0,2012,43,2012-10-01
6,"Anand, Viswanathan",g,IND,2775,10,2012,43,2012-11-01
6,"Anand, Viswanathan",g,IND,2775,0,2012,43,2012-12-01
7,"Anand, Viswanathan",g,IND,2772,8,2013,44,2013-01-01
