Year,T1 Age,T10 Mean Age,T25 Mean Age,T100 Mean Age
2000,37.0,28.7,31.28,33.055
2001,38.0,29.625,31.06,33.02
2002,39.0,29.425,31.25,33.05339805825243
2003,40.0,29.925,32.14,32.37064676616915
2004,41.0,30.125,32.37,31.826732673267326
2005,42.0,30.75,30.48,31.300248138957816
2006,34.0,31.65,29.67,30.573200992555833
2007,36.5,30.075,28.87,30.4590570719603
2008,36.0,30.05,28.73,30.530864197530864
2009,34.0,30.7,28.736,29.709741550695824
2010,23.5,30.783333333333335,29.26,29.384488448844884
2011,28.0,30.766666666666666,29.54,29.44701986754967
2012,22.0,30.355555555555554,30.622222222222224,30.40371991247265
2013,23.0,31.083333333333332,31.433333333333334,30.642148760330578
2014,24.0,30.833333333333332,31.17,31.02469135802469
2015,25.0,30.691666666666666,30.763333333333332,31.003316749585405
2016,26.0,29.658333333333335,31.266666666666666,32.02716049382716
2017,27.0,31.658333333333335,31.633333333333333,32.59075907590759
2018,28.0,30.875,31.313333333333333,32.2914946325351
2019,29.0,31.333333333333332,31.476666666666667,32.42916321458161
2020,30.0,31.091666666666665,31.47,32.19043693322341
2021,31.0,31.79090909090909,32.25818181818182,32.99552772808587
