Year,T1 Mean Rating,T10 Mean Rating,T25 Mean Rating,T100 Mean Rating
2000,2849.0,2750.55,2708.0,2643.565
2001,2838.0,2752.275,2713.13,2645.88
2002,2837.5,2750.875,2712.29,2647.143203883495
2003,2834.25,2749.625,2715.96,2652.2213930348257
2004,2819.5,2750.6,2718.24,2656.3762376237623
2005,2810.0,2754.175,2720.82,2661.047146401985
2006,2810.5,2752.725,2723.35,2665.0545905707195
2007,2790.5,2757.8,2729.19,2669.54094292804
2008,2797.75,2767.175,2739.14,2678.392592592593
2009,2808.8,2768.76,2743.84,2686.7296222664017
2010,2815.3333333333335,2776.3333333333335,2748.8,2691.937293729373
2011,2819.6666666666665,2783.95,2753.36,2698.2615894039736
2012,2840.1111111111113,2788.2444444444445,2758.182222222222,2702.6859956236326
2013,2867.25,2791.0,2760.3533333333335,2702.5446280991737
2014,2873.4166666666665,2792.9083333333333,2762.383333333333,2702.9119341563787
2015,2858.1666666666665,2797.883333333333,2765.3033333333333,2702.9610281923715
2016,2850.9166666666665,2795.1833333333334,2766.4933333333333,2702.627160493827
2017,2832.4166666666665,2798.1833333333334,2767.8633333333332,2704.6295379537955
2018,2840.0833333333335,2794.95,2766.4933333333333,2702.7266721717588
2019,2862.8333333333335,2791.008333333333,2763.5666666666666,2700.967688483844
2020,2863.4166666666665,2790.133333333333,2761.97,2697.149216817807
2021,2851.909090909091,2789.2818181818184,2761.258181818182,2696.4713774597494
