Rank,Name,Title,Country,Rating,Games,Year,Age,Date
87,"Hou, Yifan",g,CHN,2661,21,2014,20,2014-08-01
87,"Hou, Yifan",g,CHN,2663,9,2014,20,2014-09-01
72,"Hou, Yifan",g,CHN,2673,17,2014,20,2014-10-01
71,"Hou, Yifan",g,CHN,2673,0,2014,20,2014-11-01
71,"Hou, Yifan",g,CHN,2673,0,2014,20,2014-12-01
70,"Hou, Yifan",g,CHN,2673,0,2015,21,2015-01-01
68,"Hou, Yifan",g,CHN,2672,13,2015,21,2015-02-01
59,"Hou, Yifan",g,CHN,2686,10,2015,21,2015-03-01
59,"Hou, Yifan",g,CHN,2686,0,2015,21,2015-04-01
55,"Hou, Yifan",g,CHN,2686,0,2015,21,2015-05-01
62,"Hou, Yifan",g,CHN,2676,9,2015,21,2015-06-01
64,"Hou, Yifan",g,CHN,2676,0,2015,21,2015-07-01
67,"Hou, Yifan",g,CHN,2671,7,2015,21,2015-08-01
72,"Hou, Yifan",g,CHN,2671,0,2015,21,2015-09-01
72,"Hou, Yifan",g,CHN,2671,0,2015,21,2015-10-01
61,"Hou, Yifan",g,CHN,2683,15,2015,21,2015-11-01
59,"Hou, Yifan",g,CHN,2683,0,2015,21,2015-12-01
68,"Hou, Yifan",g,CHN,2673,9,2016,22,2016-01-01
68,"Hou, Yifan",g,CHN,2673,0,2016,22,2016-02-01
73,"Hou, Yifan",g,CHN,2667,17,2016,22,2016-03-01
83,"Hou, Yifan",g,CHN,2663,12,2016,22,2016-04-01
85,"Hou, Yifan",g,CHN,2663,0,2016,22,2016-05-01
83,"Hou, Yifan",g,CHN,2663,0,2016,22,2016-06-01
93,"Hou, Yifan",g,CHN,2658,9,2016,22,2016-08-01
95,"Hou, Yifan",g,CHN,2658,0,2016,22,2016-09-01
85,"Hou, Yifan",g,CHN,2666,9,2017,23,2017-06-01
82,"Hou, Yifan",g,CHN,2666,0,2017,23,2017-07-01
100,"Hou, Yifan",g,CHN,2652,9,2017,23,2017-08-01
74,"Hou, Yifan",g,CHN,2670,9,2017,23,2017-09-01
64,"Hou, Yifan",g,CHN,2678,4,2017,23,2017-10-01
66,"Hou, Yifan",g,CHN,2680,8,2017,23,2017-11-01
64,"Hou, Yifan",g,CHN,2680,0,2017,23,2017-12-01
64,"Hou, Yifan",g,CHN,2680,0,2018,24,2018-01-01
96,"Hou, Yifan",g,CHN,2654,13,2018,24,2018-02-01
95,"Hou, Yifan",g,CHN,2654,0,2018,24,2018-03-01
93,"Hou, Yifan",g,CHN,2657,1,2018,24,2018-04-01
89,"Hou, Yifan",g,CHN,2658,9,2018,24,2018-05-01
89,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-06-01
88,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-07-01
88,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-08-01
87,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-09-01
87,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-10-01
91,"Hou, Yifan",g,CHN,2658,0,2018,24,2018-11-01
86,"Hou, Yifan",g,CHN,2662,4,2018,24,2018-12-01
86,"Hou, Yifan",g,CHN,2662,0,2019,25,2019-01-01
86,"Hou, Yifan",g,CHN,2662,0,2019,25,2019-02-01
87,"Hou, Yifan",g,CHN,2662,0,2019,25,2019-03-01
87,"Hou, Yifan",g,CHN,2662,0,2019,25,2019-04-01
87,"Hou, Yifan",g,CHN,2662,0,2019,25,2019-05-01
88,"Hou, Yifan",g,CHN,2659,3,2019,25,2019-06-01
88,"Hou, Yifan",g,CHN,2659,0,2019,25,2019-07-01
90,"Hou, Yifan",g,CHN,2659,0,2019,25,2019-08-01
86,"Hou, Yifan",g,CHN,2659,0,2019,25,2019-09-01
87,"Hou, Yifan",g,CHN,2659,0,2019,25,2019-10-01
85,"Hou, Yifan",g,CHN,2659,0,2019,25,2019-11-01
79,"Hou, Yifan",g,CHN,2664,2,2019,25,2019-12-01
75,"Hou, Yifan",g,CHN,2664,0,2020,26,2020-01-01
75,"Hou, Yifan",g,CHN,2664,0,2020,26,2020-02-01
86,"Hou, Yifan",g,CHN,2658,2,2020,26,2020-03-01
84,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-04-01
84,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-05-01
84,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-06-01
83,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-07-01
84,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-08-01
85,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-09-01
86,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-10-01
88,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-11-01
86,"Hou, Yifan",g,CHN,2658,0,2020,26,2020-12-01
87,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-01-01
85,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-02-01
85,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-03-01
85,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-04-01
84,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-05-01
84,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-06-01
81,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-07-01
84,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-08-01
82,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-09-01
83,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-10-01
83,"Hou, Yifan",g,CHN,2658,0,2021,27,2021-11-01
